,幣別,即期買入,即期賣出,現鈔買入,現鈔賣出,銀行
0,美金 (USD),27.65,27.75,27.4,27.9,遠東銀行
1,日圓 (JPY),0.2517,0.2544,0.249,0.257,遠東銀行
2,港幣 (HKD),3.5460000000000003,3.594,3.44,3.65,遠東銀行
3,歐元 (EUR),33.58,33.89,33.04,34.24,遠東銀行
4,人民幣 (CNY),4.308,4.365,4.227,4.431,遠東銀行
5,英鎊 (GBP),39.03,39.39,0,0,遠東銀行
6,新加坡幣 (SGD),20.84,21.03,0,0,遠東銀行
7,澳幣 (AUD),21.31,21.61,0,0,遠東銀行
8,泰幣 (THB),0.8606,0.9186,0,0,遠東銀行
9,加拿大幣 (CAD),22.83,23.02,0,0,遠東銀行
10,瑞士法郎 (CHF),30.69,31.0,0,0,遠東銀行
11,紐西蘭幣 (NZD),19.85,20.15,0,0,遠東銀行
12,南非幣 (ZAR),2.02,2.072,0,0,遠東銀行
0,美金 (USD),27.645,27.745,27.345,27.965,新光銀行
1,日圓 (JPY),0.251,0.255,0.246,0.2566,新光銀行
2,港幣 (HKD),3.5389999999999997,3.5989999999999998,3.449,3.629,新光銀行
3,歐元 (EUR),33.533,33.933,33.033,34.263,新光銀行
4,人民幣 (CNY),4.31,4.36,4.215,4.401,新光銀行
5,英鎊 (GBP),39.015,39.415,0,0,新光銀行
6,新加坡幣 (SGD),20.826999999999998,21.026999999999997,0,0,新光銀行
7,澳幣 (AUD),21.349,21.569000000000003,0,0,新光銀行
8,泰幣 (THB),0.867,0.909,0,0,新光銀行
9,加拿大幣 (CAD),22.823,23.023000000000003,22.463,23.343,新光銀行
10,瑞士法郎 (CHF),30.739,30.959,0,0,新光銀行
11,紐西蘭幣 (NZD),19.879,20.099,0,0,新光銀行
12,南非幣 (ZAR),1.9909999999999999,2.0909999999999997,0,0,新光銀行
13,瑞典幣 (SEK),3.303,3.403,0,0,新光銀行
14,土耳其里拉 (TRY),3.031,3.391,0,0,新光銀行
15,墨西哥比索 (MXN),1.337,1.4569999999999999,0,0,新光銀行
0,美金 (USD),27.645,27.745,27.265,27.975,土地銀行
1,日圓 (JPY),0.251,0.255,0.2454,0.2571,土地銀行
2,港幣 (HKD),3.54,3.6,3.45,3.61,土地銀行
3,歐元 (EUR),33.55,33.91,33.13,34.18,土地銀行
4,人民幣 (CNY),4.31,4.36,4.235,4.4,土地銀行
5,英鎊 (GBP),39.01,39.41,0,0,土地銀行
6,新加坡幣 (SGD),20.84,21.0,0,0,土地銀行
7,澳幣 (AUD),21.36,21.56,21.11,21.81,土地銀行
